tipo_aviso,tipo_orden,area,planta,fecha,costo_total,trabajo_real
breakdown,CO2,AR-14,PL-4,2017-07-03,1988500.0,10.333
breakdown,CO2,AR-14,PL-5,2017-01-30,45060.0,26.5
breakdown,CO2,AR-14,PL-5,2017-05-08,90120.0,11.0
breakdown,CO2,AR-14,PL-5,2018-01-15,525780.0,1.5
breakdown,CO2,AR-14,PL-5,2018-04-30,1936281.65,36.8
breakdown,CO2,AR-14,PL-5,2018-06-18,630200.0,11.0
breakdown,CO2,AR-14,PL-5,2018-07-09,1702136.19,15.0
breakdown,CO2,AR-14,PL-5,2018-07-16,5250364.03,38.5
breakdown,CO2,AR-14,PL-5,2018-10-08,2563279.83,40.5
breakdown,CO2,AR-14,PL-6,2017-01-16,39795198.44,12.0
breakdown,CO2,AR-14,PL-6,2017-01-23,256500.0,59.0
breakdown,CO2,AR-14,PL-6,2017-01-30,3637094.57,78.8
breakdown,CO2,AR-14,PL-6,2017-02-13,1037000.0,13.5
breakdown,CO2,AR-14,PL-6,2017-02-20,1341472.0,19.5
breakdown,CO2,AR-14,PL-6,2017-02-27,4383000.0,44.0
breakdown,CO2,AR-14,PL-6,2017-03-06,123134.0,10.5
breakdown,CO2,AR-14,PL-6,2017-03-20,1800974.79,22.0
breakdown,CO2,AR-14,PL-6,2017-03-27,240957.0,5.0
breakdown,CO2,AR-14,PL-6,2017-04-03,566924.0,1.0
breakdown,CO2,AR-14,PL-6,2017-05-15,94411.62,16.0
breakdown,CO2,AR-14,PL-6,2017-05-22,4683333.33,13.0
breakdown,CO2,AR-14,PL-6,2017-06-26,124072.75,23.5
breakdown,CO2,AR-14,PL-6,2017-09-04,1248311.1400000001,8.0
breakdown,CO2,AR-14,PL-6,2017-09-25,7302000.0,13.0
breakdown,CO2,AR-14,PL-6,2017-11-06,1373962.2,9.0
breakdown,CO2,AR-14,PL-6,2017-12-18,1527622.03,13.5
breakdown,CO2,AR-14,PL-6,2018-03-05,2216952.53,31.5
breakdown,CO2,AR-14,PL-6,2018-05-21,345464.18,20.0
breakdown,CO2,AR-14,PL-6,2018-06-11,1078058.83,14.0
breakdown,CO2,AR-14,PL-6,2018-06-25,22506275.21,37.5
breakdown,CO2,AR-14,PL-6,2018-07-30,4549402.550000001,156.0
breakdown,CO2,AR-14,PL-6,2018-08-06,120000.0,66.5
breakdown,CO2,AR-14,PL-6,2018-08-20,1484751.0,26.5
breakdown,CO2,AR-14,PL-6,2018-09-03,1050000.0,19.3
breakdown,CO2,AR-14,PL-6,2018-09-10,1324920.23,4.0
breakdown,CO2,AR-14,PL-6,2018-09-24,3278521.71,32.5
breakdown,CO2,AR-14,PL-6,2018-11-19,616934.88,4.5
breakdown,CO2,AR-14,PL-6,2018-12-17,1155793.11,7.5
breakdown,CO2,AR-16,PL-5,2017-08-21,107748.0,1.0
breakdown,CO2,AR-17,PL-1,2017-01-02,669200.0,208.5
breakdown,CO2,AR-17,PL-1,2017-01-16,380564.91,5.0
